statlaw,nsds_exist,nsds_implement,nsds_funded,nsds_gov,nsds_don,nsds_other,nsds_none,token,m49,country,iso
1,1,1,1,1,NA,NA,0,6EUSITLdwL4Kowj,152,Chile,CHL
0,1,1,0,0,0,0,1,UFBSE9hRD3cYuTv,716,Zimbabwe,ZWE
0,1,1,1,1,NA,NA,0,lpGkIGRn2ocwzHJ,76,Brazil,BRA
0,1,1,1,NA,1,NA,0,JX74VVz8WTvIPGt,694,Sierra Leone,SLE
1,1,1,1,1,NA,NA,0,55msufDuS3vjM5M,604,Peru,PER
1,1,1,0,NA,1,1,0,V3T8iy7YZXaJ9za,706,Somalia,SOM
0,1,1,1,1,NA,NA,0,hwmQrjCGDhdfa3w,376,Israel,ISR
0,1,1,1,1,1,NA,0,npO47n01GaWcaIM,64,Bhutan,BTN
1,1,1,1,1,NA,NA,0,itl9qT8tzfPWOeT,188,Costa Rica,CRI
1,1,1,1,1,NA,NA,0,HqHTggLIAb5ge2m,124,Canada,CAN
1,1,1,1,0,0,0,1,64VzXaZT8Ha6tcg,686,Senegal,SEN
1,1,1,1,1,NA,NA,0,7Z8UiU4XVgintGf,12,Algeria,DZA
1,1,1,1,1,1,1,0,5aYLSKm5aRJYU6O,404,Kenya,KEN
NA,NA,NA,NA,NA,NA,NA,NA,bSVzSX3xHFbzzFk,690,Seychelles,SYC
NA,NA,NA,NA,NA,NA,NA,NA,sTaDXMzjBOLpgwj,231,Ethiopia,ETH
0,0,NA,NA,NA,NA,NA,NA,BmWfNaIvKh4pMFZ,818,Egypt,EGY
0,1,1,1,1,NA,NA,0,YpeXJejKE7f84G9,218,Ecuador,ECU
1,1,0,0,1,1,NA,0,122A0Yn6G5EOh2V,242,Fiji,FJI
1,1,1,1,1,NA,NA,0,rVTDzu8VocP2PaJ,480,Mauritius,MUS
1,1,0,0,1,NA,NA,0,wgaknKYyl7qdx1k,591,Panama,PAN
NA,NA,NA,NA,NA,NA,NA,NA,h3U6anz2mxY9lxV,4,Afghanistan,AFG
NA,NA,NA,NA,NA,NA,NA,NA,PayM1qJkt5UZ6vA,16,American Samoa,ASM
NA,NA,NA,NA,NA,NA,NA,NA,B6Jz3z5xG1dAQzb,20,Andorra,AND
NA,NA,NA,NA,NA,NA,NA,NA,JNiSIVUeaOAsI9s,24,Angola,AGO
NA,NA,NA,NA,NA,NA,NA,NA,jrjocZihsUYNrpM,660,Anguilla,AIA
NA,NA,NA,NA,NA,NA,NA,NA,lzJCmz91soMWOHw,28,Antigua and Barbuda,ATG
NA,NA,NA,NA,NA,NA,NA,NA,RojQka890X9uLb4,32,Argentina,ARG
NA,NA,NA,NA,NA,NA,NA,NA,gf2mvQaC3v3WKqr,533,Aruba,ABW
NA,NA,NA,NA,NA,NA,NA,NA,n7bP8UdHGzHApKd,36,Australia,AUS
NA,NA,NA,NA,NA,NA,NA,NA,t4pB0j3RQv4wuZR,44,Bahamas,BHS
NA,NA,NA,NA,NA,NA,NA,NA,uSgDIVvs7hTQ7R2,48,Bahrain,BHR
NA,NA,NA,NA,NA,NA,NA,NA,421ryeAfkGdf88o,52,Barbados,BRB
NA,NA,NA,NA,NA,NA,NA,NA,kA7PR30WmD2W1BN,84,Belize,BLZ
NA,NA,NA,NA,NA,NA,NA,NA,AOz1rnDiE2isS8R,204,Benin,BEN
NA,NA,NA,NA,NA,NA,NA,NA,vtgUiCs6jBu1zES,60,Bermuda,BMU
NA,NA,NA,NA,NA,NA,NA,NA,hMWZKKymTZLjA7N,68,Bolivia (Plurinational State of),BOL
NA,NA,NA,NA,NA,NA,NA,NA,x9MkMuGNO2o30DV,535,"Bonaire, Sint Eustatius and Saba",BES
NA,NA,NA,NA,NA,NA,NA,NA,XIVcndvc9Pisj0W,74,Bouvet Island,BVT
NA,NA,NA,NA,NA,NA,NA,NA,U9zBEIsGMIupqvl,86,British Indian Ocean Territory,IOT
NA,NA,NA,NA,NA,NA,NA,NA,zQaeaB4vrVs7xYB,92,British Virgin Islands,VGB
NA,NA,NA,NA,NA,NA,NA,NA,dqfR1aeodaAgXn5,854,Burkina Faso,BFA
NA,NA,NA,NA,NA,NA,NA,NA,QFG3cH5cV8nu0Yd,108,Burundi,BDI
NA,NA,NA,NA,NA,NA,NA,NA,ZZCInaLmQcyznt7,132,Cabo Verde,CPV
NA,NA,NA,NA,NA,NA,NA,NA,ZGx6JFvoa5W8YIm,116,Cambodia,KHM
NA,NA,NA,NA,NA,NA,NA,NA,6voSfL0JCq0tnpz,136,Cayman Islands,CYM
NA,NA,NA,NA,NA,NA,NA,NA,0XVg6Mx9NUZrfVu,140,Central African Republic,CAF
NA,NA,NA,NA,NA,NA,NA,NA,8I3a5uQSz1pBr9J,148,Chad,TCD
NA,NA,NA,NA,NA,NA,NA,NA,nN30SbJSyzZbu82,830,Channel Islands,<NA>
NA,NA,NA,NA,NA,NA,NA,NA,DFXMao4pWAh9Pwg,344,"China, Hong Kong Special Administrative Region",HKG
NA,NA,NA,NA,NA,NA,NA,NA,3bGLRk0Oy1taodR,446,"China, Macao Special Administrative Region",MAC
NA,NA,NA,NA,NA,NA,NA,NA,5xrxzEyDMu8Cxpi,162,Christmas Island,CXR
NA,NA,NA,NA,NA,NA,NA,NA,z53dyxZ5sYZWkbD,166,Cocos (Keeling) Islands,CCK
NA,NA,NA,NA,NA,NA,NA,NA,r4VI2VTlw0aHdr5,174,Comoros,COM
NA,NA,NA,NA,NA,NA,NA,NA,pkcNamaca5abPAW,178,Congo,COG
NA,NA,NA,NA,NA,NA,NA,NA,ufeCcYCjZmEzCNi,184,Cook Islands,COK
NA,NA,NA,NA,NA,NA,NA,NA,LCyAafq7gaGQ6hi,384,Côte d'Ivoire,CIV
NA,NA,NA,NA,NA,NA,NA,NA,cyIQMZEhlJNkazA,192,Cuba,CUB
NA,NA,NA,NA,NA,NA,NA,NA,Jgo5KvvF4OPAepz,531,Curaçao,CUW
NA,NA,NA,NA,NA,NA,NA,NA,49kFny1vH8JURUk,408,Democratic People's Republic of Korea,PRK
NA,NA,NA,NA,NA,NA,NA,NA,tcjKkbL4eMZb7aQ,180,Democratic Republic of the Congo,COD
NA,NA,NA,NA,NA,NA,NA,NA,Hg38UlT6FtFav7Y,262,Djibouti,DJI
NA,NA,NA,NA,NA,NA,NA,NA,t9O3wCBg0MPAfkz,212,Dominica,DMA
NA,NA,NA,NA,NA,NA,NA,NA,PJXfFX18LgKSPYX,214,Dominican Republic,DOM
NA,NA,NA,NA,NA,NA,NA,NA,SQNm9mEJUPut0t3,222,El Salvador,SLV
NA,NA,NA,NA,NA,NA,NA,NA,pfaVv5z7piFHxqm,232,Eritrea,ERI
NA,NA,NA,NA,NA,NA,NA,NA,LNtfidZqUwZapod,238,Falkland Islands (Malvinas),FLK
NA,NA,NA,NA,NA,NA,NA,NA,MdPBKP2GZZbjMRT,234,Faroe Islands,FRO
NA,NA,NA,NA,NA,NA,NA,NA,py4nMaL7acPE4kS,254,French Guiana,GUF
NA,NA,NA,NA,NA,NA,NA,NA,i3oKUELhJ33UMwg,260,French Southern and Antarctic Territories,ATF
NA,NA,NA,NA,NA,NA,NA,NA,NNqfzXUFzfue95O,266,Gabon,GAB
NA,NA,NA,NA,NA,NA,NA,NA,uB77ypHao06aTam,270,Gambia,GMB
NA,NA,NA,NA,NA,NA,NA,NA,CEbyztjHSaFpMWz,288,Ghana,GHA
NA,NA,NA,NA,NA,NA,NA,NA,HSBndmfABHBvZCU,292,Gibraltar,GIB
NA,NA,NA,NA,NA,NA,NA,NA,isLVz7j8EorSp9K,304,Greenland,GRL
NA,NA,NA,NA,NA,NA,NA,NA,IJ2SizJbJK5zgCp,308,Grenada,GRD
NA,NA,NA,NA,NA,NA,NA,NA,GhRPufXNaKQRFzB,312,Guadeloupe,GLP
NA,NA,NA,NA,NA,NA,NA,NA,LvSP2wBHhKSQaAa,316,Guam,GUM
NA,NA,NA,NA,NA,NA,NA,NA,Uj6Oa9ZaMmazHBU,320,Guatemala,GTM
NA,NA,NA,NA,NA,NA,NA,NA,qMw6hz92f7Wf75a,831,Guernsey,GGY
NA,NA,NA,NA,NA,NA,NA,NA,4QHjNBYu6to6NyB,324,Guinea,GIN
NA,NA,NA,NA,NA,NA,NA,NA,GmLYxSJvz7dznWI,624,Guinea-Bissau,GNB
NA,NA,NA,NA,NA,NA,NA,NA,k3eeowgYzXTLAxq,332,Haiti,HTI
NA,NA,NA,NA,NA,NA,NA,NA,3FBJwMDxy5RXGwD,334,Heard Island and McDonald Islands,HMD
NA,NA,NA,NA,NA,NA,NA,NA,JO6OyMSgAY3ArcB,336,Holy See,VAT
NA,NA,NA,NA,NA,NA,NA,NA,Z2EeD9eXecETIq0,340,Honduras,HND
NA,NA,NA,NA,NA,NA,NA,NA,gbAPI6TohN4OyVQ,348,Hungary,HUN
NA,NA,NA,NA,NA,NA,NA,NA,GplVtagZz7SdpmX,364,Iran (Islamic Republic of),IRN
NA,NA,NA,NA,NA,NA,NA,NA,lBDdYbO4z2cl5Ed,368,Iraq,IRQ
NA,NA,NA,NA,NA,NA,NA,NA,WINcEeKJWD0xDaf,372,Ireland,IRL
NA,NA,NA,NA,NA,NA,NA,NA,XPuSOuPzF1rGMJY,833,Isle of Man,IMN
NA,NA,NA,NA,NA,NA,NA,NA,xaL4p0RCBlCzrbk,380,Italy,ITA
NA,NA,NA,NA,NA,NA,NA,NA,FTXjcR5vCvLVWZk,388,Jamaica,JAM
NA,NA,NA,NA,NA,NA,NA,NA,jbuuDDOkpIvmjOi,832,Jersey,JEY
NA,NA,NA,NA,NA,NA,NA,NA,c1Grzxx2SAsaVhp,398,Kazakhstan,KAZ
NA,NA,NA,NA,NA,NA,NA,NA,JfdIMXUt0xX1c6X,296,Kiribati,KIR
NA,NA,NA,NA,NA,NA,NA,NA,N767hYLrhAmUq6u,417,Kyrgyzstan,KGZ
NA,NA,NA,NA,NA,NA,NA,NA,1HBq24rgLKnZrOV,428,Latvia,LVA
NA,NA,NA,NA,NA,NA,NA,NA,Yv4KXxRBokHjQjj,422,Lebanon,LBN
NA,NA,NA,NA,NA,NA,NA,NA,cz0pjpbyDlOO6V6,426,Lesotho,LSO
NA,NA,NA,NA,NA,NA,NA,NA,Eya1aTsX5gK5qYf,430,Liberia,LBR
NA,NA,NA,NA,NA,NA,NA,NA,UiD3m9q3st3Tr1R,438,Liechtenstein,LIE
NA,NA,NA,NA,NA,NA,NA,NA,hkVZte4V9j7FRIS,442,Luxembourg,LUX
NA,NA,NA,NA,NA,NA,NA,NA,l5Sz7POZd3PQbcm,450,Madagascar,MDG
NA,NA,NA,NA,NA,NA,NA,NA,XX4VJVaAoqXoIVh,454,Malawi,MWI
NA,NA,NA,NA,NA,NA,NA,NA,adLr5S12aqIow5O,462,Maldives,MDV
NA,NA,NA,NA,NA,NA,NA,NA,9GQzSGtQlSVggsZ,584,Marshall Islands,MHL
NA,NA,NA,NA,NA,NA,NA,NA,qXCJIAT4jOHhalN,474,Martinique,MTQ
NA,NA,NA,NA,NA,NA,NA,NA,MxK4LYosf2fWKG8,478,Mauritania,MRT
NA,NA,NA,NA,NA,NA,NA,NA,pvdzVkIRtzNSTc3,175,Mayotte,MYT
NA,NA,NA,NA,NA,NA,NA,NA,zrAcL3Q35eBYpWE,583,Micronesia (Federated States of),FSM
NA,NA,NA,NA,NA,NA,NA,NA,F7E23dO2wpsESh0,492,Monaco,MCO
NA,NA,NA,NA,NA,NA,NA,NA,NnXGbaQqD9bje0z,496,Mongolia,MNG
NA,NA,NA,NA,NA,NA,NA,NA,7YIJ1DN2ancLwsF,499,Montenegro,MNE
NA,NA,NA,NA,NA,NA,NA,NA,lZ54gpYrHRN1kHe,500,Montserrat,MSR
NA,NA,NA,NA,NA,NA,NA,NA,JY3FIuqSI4tq1jl,504,Morocco,MAR
NA,NA,NA,NA,NA,NA,NA,NA,qXJDz36jjf7zPHz,104,Myanmar,MMR
NA,NA,NA,NA,NA,NA,NA,NA,OAzziEcGqvnjGms,516,Namibia,"NAM"
NA,NA,NA,NA,NA,NA,NA,NA,aqhrTtGTUfl26z1,540,New Caledonia,NCL
NA,NA,NA,NA,NA,NA,NA,NA,Jj6lkpUNI1dNzid,558,Nicaragua,NIC
NA,NA,NA,NA,NA,NA,NA,NA,z42PNQS8vYMJqwg,566,Nigeria,NGA
NA,NA,NA,NA,NA,NA,NA,NA,ZT5iJfsZj98Gks1,570,Niue,NIU
NA,NA,NA,NA,NA,NA,NA,NA,KrM6cW5TwdwCDu7,574,Norfolk Island,NFK
NA,NA,NA,NA,NA,NA,NA,NA,N4ENrmja3jjMpMT,580,Northern Mariana Islands,MNP
NA,NA,NA,NA,NA,NA,NA,NA,gbs2uySY9C7Ykoe,586,Pakistan,PAK
NA,NA,NA,NA,NA,NA,NA,NA,bk3axecdTsjRYDo,585,Palau,PLW
NA,NA,NA,NA,NA,NA,NA,NA,Op3meJ0h67X3jrF,598,Papua New Guinea,PNG
NA,NA,NA,NA,NA,NA,NA,NA,tBEzBzhDbaxdvPu,600,Paraguay,PRY
NA,NA,NA,NA,NA,NA,NA,NA,QRissSEdM5QYaWs,612,Pitcairn,PCN
NA,NA,NA,NA,NA,NA,NA,NA,9vgGThdCZTWDC2U,630,Puerto Rico,PRI
NA,NA,NA,NA,NA,NA,NA,NA,JAZU7IsodQjjQWE,410,Republic of Korea,KOR
NA,NA,NA,NA,NA,NA,NA,NA,SWX9TKnZFmrUxSs,638,Réunion,REU
NA,NA,NA,NA,NA,NA,NA,NA,fgkUV6ts1k6dRlT,642,Romania,ROU
NA,NA,NA,NA,NA,NA,NA,NA,aoAZbRWmamwKRZb,646,Rwanda,RWA
NA,NA,NA,NA,NA,NA,NA,NA,RgXzy0qQMa61yMA,652,Saint Barthélemy,BLM
NA,NA,NA,NA,NA,NA,NA,NA,GmTabUgFH6Ovgrc,654,Saint Helena,SHN
NA,NA,NA,NA,NA,NA,NA,NA,Gn2bkOuR7uHkz6H,659,Saint Kitts and Nevis,KNA
NA,NA,NA,NA,NA,NA,NA,NA,pxs1noVLlTGD85a,662,Saint Lucia,LCA
NA,NA,NA,NA,NA,NA,NA,NA,hij1K1GRDtaKaLi,663,Saint Martin (French Part),MAF
NA,NA,NA,NA,NA,NA,NA,NA,t2cQTRqHOhE1VnS,666,Saint Pierre and Miquelon,SPM
NA,NA,NA,NA,NA,NA,NA,NA,Gdg1SzX2R5Tsxpx,680,Sark,
NA,NA,NA,NA,NA,NA,NA,NA,9OaczMsDTdFL4ZV,882,Samoa,WSM
NA,NA,NA,NA,NA,NA,NA,NA,MVBzZn5xq0o6sAS,674,San Marino,SMR
NA,NA,NA,NA,NA,NA,NA,NA,kp2d0o4Nf3McCbz,678,Sao Tome and Principe,STP
NA,NA,NA,NA,NA,NA,NA,NA,szuIpUqOa2lC1Mb,534,Sint Maarten (Dutch part),SXM
NA,NA,NA,NA,NA,NA,NA,NA,CStRQhLMZTH520Y,90,Solomon Islands,SLB
NA,NA,NA,NA,NA,NA,NA,NA,wGYBig9b2odAmnt,710,South Africa,ZAF
NA,NA,NA,NA,NA,NA,NA,NA,WoXoyx1QaGaRfBK,239,South Georgia and the South Sandwich Islands,SGS
NA,NA,NA,NA,NA,NA,NA,NA,YWjEePP5qaioOBM,729,Sudan,SDN
NA,NA,NA,NA,NA,NA,NA,NA,VikdZImffXIEBar,744,Svalbard and Jan Mayen Islands,SJM
NA,NA,NA,NA,NA,NA,NA,NA,a6cbRgyxpgljVVH,748,Eswatini,SWZ
NA,NA,NA,NA,NA,NA,NA,NA,iNf4ah7PI1BaKLC,760,Syrian Arab Republic,SYR
NA,NA,NA,NA,NA,NA,NA,NA,9qMW2ce0awaGizu,762,Tajikistan,TJK
NA,NA,NA,NA,NA,NA,NA,NA,PaVxqbWn3ZeKaPo,764,Thailand,THA
NA,NA,NA,NA,NA,NA,NA,NA,13EGXdYdrw9DQLA,626,Timor-Leste,TLS
NA,NA,NA,NA,NA,NA,NA,NA,YFDQoM4fOiSTQ8j,768,Togo,TGO
NA,NA,NA,NA,NA,NA,NA,NA,4PzV9rGjyRkGpee,772,Tokelau,TKL
NA,NA,NA,NA,NA,NA,NA,NA,oFPz1JyDriGDhkO,776,Tonga,TON
NA,NA,NA,NA,NA,NA,NA,NA,cHaICTcgO19As2y,780,Trinidad and Tobago,TTO
NA,NA,NA,NA,NA,NA,NA,NA,y7sRWGGoVktSysG,795,Turkmenistan,TKM
NA,NA,NA,NA,NA,NA,NA,NA,5SXjMMz3qAdqbxX,796,Turks and Caicos Islands,TCA
NA,NA,NA,NA,NA,NA,NA,NA,5pDYx5JetPCcY40,798,Tuvalu,TUV
NA,NA,NA,NA,NA,NA,NA,NA,nG676Lswe2IdG4z,800,Uganda,UGA
NA,NA,NA,NA,NA,NA,NA,NA,8WdtghEcB1LjUxl,784,United Arab Emirates,ARE
NA,NA,NA,NA,NA,NA,NA,NA,CFKCbnFjTUKc90N,834,United Republic of Tanzania,TZA
NA,NA,NA,NA,NA,NA,NA,NA,sL8ojaAsxVQCmq0,581,United States minor outlying islands,UMI
NA,NA,NA,NA,NA,NA,NA,NA,x3zDVLOAysxWXzV,840,United States of America,USA
NA,NA,NA,NA,NA,NA,NA,NA,JO63uIvqQUlgIuZ,850,United States Virgin Islands,VIR
NA,NA,NA,NA,NA,NA,NA,NA,va6DcGl5AQh9o3a,860,Uzbekistan,UZB
NA,NA,NA,NA,NA,NA,NA,NA,V1XxmC4qna7Akd0,548,Vanuatu,VUT
NA,NA,NA,NA,NA,NA,NA,NA,vdd2i0ddRnrImIe,862,Venezuela (Bolivarian Republic of),VEN
NA,NA,NA,NA,NA,NA,NA,NA,BjpxEttjI1qbEvx,704,Viet Nam,VNM
NA,NA,NA,NA,NA,NA,NA,NA,JM8BN0MU9fEn49h,876,Wallis and Futuna Islands,WLF
NA,NA,NA,NA,NA,NA,NA,NA,n4vbRmyEZbhKo21,732,Western Sahara,ESH
NA,NA,NA,NA,NA,NA,NA,NA,hRED10OKdFnR88R,887,Yemen,YEM
NA,NA,NA,NA,NA,NA,NA,NA,Ig28fqtPCA7kwts,894,Zambia,ZMB
