tid,countryname,token,M49Code,ISOCode
63,Guinea,yELjW9VBx9qGFt7,324,GIN
64,Guyana,FRKQe5dDSzQpz3o,328,GUY
65,Hungary,44ikTvs0y1hVpJz,348,HUN
66,Iceland,DvYwV7zpnbJrvNg,352,ISL
67,India,fao6ru4UzWNq4VL,356,IND
68,Indonesia,RUPa8BANR7VNVzd,360,IDN
69,Iran (Islamic Republic of),qBcKdC8jDBCzfTw,364,IRN
70,Iraq,IDqaZXUOxs6TP8h,368,IRQ
71,Ireland,GIl1a6vQNhYqh56,372,IRL
72,Israel,CiT5bZhZ2FaCp2h,376,ISR
73,Italy,58SodFhlqhjQkaJ,380,ITA
74,Jamaica,yNdRvjRudFyzsfX,388,JAM
75,Japan,ACD9OtcTOTrWTGZ,392,JPN
76,Jordan,k8PNeAJhhP9YSRc,400,JOR
77,Kazakhstan,ZkwLm0tJ7yYGUcS,398,KAZ
78,Kenya,ohJiGlm8CVgbUXw,404,KEN
79,Kuwait,dsuWzPS9loeYlW4,414,KWT
80,Lao People's Democratic Republic,Bp4chagUuRPCn37,418,LAO
81,Latvia,wRIFGDKXXw9aPtU,428,LVA
82,Lebanon,qT3oPEdNNqNN8bz,422,LBN
83,Lesotho,x5epU9IDSNcUAvB,426,LSO
84,Liberia,MRfy79rPAmZEQvn,430,LBR
85,Libya,hlXXfUt0ROYX1kP,434,LBY
86,Liechtenstein,Jc2W3z2I27ilhCy,438,LIE
87,Lithuania,HfkuMZ0GXtSUyNO,440,LTU
88,Luxembourg,ryGBFdopZQuXCku,442,LUX
89,Madagascar,HW6a15kAlvafA0I,450,MDG
90,Malawi,JIKBb7QH55rka5V,454,MWI
91,Malaysia,osGyv0nBiKZDrmT,458,MYS
92,Maldives,SMaQwp35QafMHSF,462,MDV
93,Mali,dLVF2NqZm2mpQqQ,466,MLI
94,Malta,9zztBbfaQJtb4r2,470,MLT
95,Marshall Islands,glYCxboBXVdt7G8,584,MHL
96,Mauritania,uq65aiQJ6Or4D5z,478,MRT
97,Mauritius,XAazTSKoKqhkdKE,480,MUS
98,Mexico,ZVHnk5uTaHpzKNM,484,MEX
99,Micronesia (Federated States of),CQVM4NqTImTAyP4,583,FSM
100,Monaco,JLedr6dSD8LRCyO,492,MCO
101,Mongolia,rpvdlnmuFaPtP9Z,496,MNG
102,Montenegro,83FoR5qYBnqvuRG,499,MNE
103,Montserrat,hxGZKE4vZE8x5yo,500,MSR
104,Morocco,dIOdgBf3wwPa4k2,504,MAR
105,Mozambique,sG7WizdWAfL0Snx,508,MOZ
106,Myanmar,NTMMJSBMK2Qo3AV,104,MMR
107,Namibia,dVnLJe70E1yL5fN,516,NAM
108,Nepal,OERJ7JpJAB8zVG0,524,NPL
109,Netherlands,zbzkjnfak3DtdGo,528,NLD
110,New Zealand,UBDKwCvHC9oBHaQ,554,NZL
111,Niger,RSbfxzeqzm65Dan,562,NER
112,Nigeria,hkX5hfNEOehgmGA,566,NGA
113,North Macedonia,c4zyKBQqn3MP6d5,807,MKD
114,Norway,cHjEA0yv5uAWLzW,578,NOR
115,Oman,3OGywH07EqbllPe,512,OMN
116,Pakistan,jv6i4tYZpPooako,586,PAK
117,Palau,ts4JusBp88AKdTa,585,PLW
118,Panama,KqNthqTWVy9aMjp,591,PAN
119,Paraguay,8Cxzex2lwz5KYi4,600,PRY
120,Peru,tqLlgcrwAGQ8L4s,604,PER
121,Philippines,pp92Hzqqmf9EnN5,608,PHL
122,Poland,z8gM1LUxjVQeEA4,616,POL
123,Portugal,AnXeFGhGjs1Bg7z,620,PRT
124,Qatar,eLBn1OzICBrxsh1,634,QAT
125,Republic of Korea,JdZOrQfNVKlqTpv,410,KOR
126,Republic of Moldova,YRUwGTFqAOXNBsx,498,MDA
127,Romania,r4UwcMKc9TbO7Rv,642,ROU
128,Russian Federation,8J9z0K6yFeqE03V,643,RUS
129,Rwanda,EsahMgVLNOgYWMm,646,RWA
130,Saint Kitts and Nevis,zpBn9LLwNQdwcUu,659,KNA
131,Saint Lucia,4nQmZT2G1Ua1gYg,662,LCA
132,Samoa,QSmlh7UlCyB10ZS,882,WSM
133,Sao Tome and Principe,aQzfQcUKldGZ1Jp,678,STP
134,Saudi Arabia,lUgdSmzThNIVjg3,682,SAU
135,Senegal,dhJq1Zgu80C8kyv,686,SEN
136,Serbia,uDabVDUjCxfnN3L,688,SRB
137,Sierra Leone,EnByf6naZXaf9DX,694,SLE
138,Singapore,mtayKpzmIsa7c1i,702,SGP
139,Slovakia,GgUWCOyfikyvG1X,703,SVK
140,Slovenia,zsW0Gys7TZEzkrU,705,SVN
141,Somalia,kFfc4GX3m6ja5fG,706,SOM
142,South Africa,j8xIN9A8LhF74Oh,710,ZAF
143,South Sudan,EMi9cRpB2JTncVH,728,SSD
144,Spain,AAM0jpMZVTEa5Ki,724,ESP
145,Sri Lanka,xJI9ZOasod5lGYH,144,LKA
146,State of Palestine,oFHtvjvzeuI9clw,275,PSE
147,Sudan,vDJbCZ5o51aeK6a,729,SDN
148,Suriname,V6AYZrbxlZLnTdC,740,SUR
149,Sweden,w3DnUpdSak4SGKZ,752,SWE
150,Switzerland,EZnVljb3S8llmqF,756,CHE
151,Syrian Arab Republic,UHYbQL6qu9az7W9,760,SYR
152,Tajikistan,ExbAAKS8LU53lTe,762,TJK
153,Thailand,TrGs4dU7ePR5cI9,764,THA
154,Timor-Leste,DRZJV0OS78HOLl3,626,TLS
155,Togo,tijq7gDofKFFbp5,768,TGO
156,Trinidad and Tobago,DMUYEnkttBzu6h0,780,TTO
157,Tunisia,wnZzggaWQZ2xo3v,788,TUN
158,Türkiye,u8OayOVE7tymq89,792,TUR
159,Uganda,7QJwf1oXF7aEaWt,800,UGA
160,Ukraine,Dx1GImhvvAabmzM,804,UKR
161,United Arab Emirates,jwXfzNB1DPaA8lC,784,ARE
162,United Kingdom of Great Britain and Northern Ireland,rczh1u0uyPsGIaZ,826,GBR
163,United Republic of Tanzania,W3ojZciLXj9yjv9,834,TZA
164,United States of America,ELhAVileFWz18lg,840,USA
165,Uruguay,8cdJE4Q8xicamGS,858,URY
166,Uzbekistan,Imn7ZEarFT4lzYP,860,UZB
167,Venezuela (Bolivarian Republic of),9az6emPIKOwtzcN,862,VEN
168,Viet Nam,HOXQGuxHYeiO8gW,704,VNM
169,Yemen,3Jn8CHlzMsRygOx,887,YEM
170,Zambia,DK7CaIo8aRZ3g5W,894,ZMB
171,Zimbabwe,2Q5VDMaA2Ds5QSm,716,ZWE
